Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Timecode
300.2148071428575,0.988,0.15,3.1006980460372033,2021-12-05_161538
446.93045714285563,0.988,0.82,5.939007418956207,2021-12-05_164835
-6.040371428570059,0.988,0.29,3.1516557262162803,2021-12-05_172141
250.97155714285677,0.988,0.11,8.2416586674869,2021-12-05_175457
-105.0327071428581,0.988,0.13,5.506669334065652,2021-12-05_184348
-71.68555714285615,0.988,0.11,3.676079592581124,2021-12-05_191648
290.32379285714103,0.988,0.4,3.1161942569120127,2021-12-05_194959
1446.4722785714255,0.988,0.99,4.332182991738711,2021-12-05_202800
91.69223571428515,0.988,0.7,3.0144506882311366,2021-12-05_210121
417.84763571428687,0.988,0.35,4.9728136935811325,2021-12-05_213957
753.911278571429,0.988,0.78,5.934128668618154,2021-12-05_221314
6.079028571427078,0.988,0.41,3.081857913303835,2021-12-05_224617
226.67877857142815,0.988,0.11,8.925548763700665,2021-12-05_231934
211.77916428571498,0.988,0.32,4.546774830288455,2021-12-05_235254
-18.381621428571346,0.988,0.27,3.323481266544288,2021-12-06_002608
92.79919999999846,0.988,0.12,3.3851408569808874,2021-12-06_005917
1731.9250714285722,0.988,0.98,4.010786083391804,2021-12-06_014755
1144.8696142857145,0.988,0.99,3.08191982357967,2021-12-06_022103
-426.35816428571405,0.988,0.11,3.0604442760260024,2021-12-06_025413
1658.5832071428565,0.988,0.98,7.128667908433247,2021-12-06_033235
690.6897642857164,0.988,0.86,3.6302441174226265,2021-12-06_040534
311.6150214285719,0.988,0.79,3.033248037938762,2021-12-06_043832
122.29589285714358,0.988,0.18,4.632838216371435,2021-12-06_051146
1632.4269714285729,0.988,0.94,3.1891129247972057,2021-12-06_062121
1816.8360785714283,0.988,0.98,4.055311001729734,2021-12-06_065429
-42.15633571428206,0.988,0.4,3.0923625132491623,2021-12-06_072732
534.0732142857127,0.988,0.79,3.579695588357314,2021-12-06_080031
457.932107142856,0.988,0.96,3.234410757782316,2021-12-06_083354
1028.2617357142844,0.988,0.69,8.783368119943026,2021-12-06_090705
562.3293500000009,0.988,0.86,3.862655173117114,2021-12-06_094041
50.67577142857136,0.988,0.44,3.192956057745151,2021-12-06_101347
290.13835714285784,0.988,0.17,3.570996151030829,2021-12-06_104659
232.60954285714146,0.988,0.72,7.956617514984489,2021-12-06_112111
599.1290285714273,0.988,0.37,5.614843699155248,2021-12-06_115414
16.368335714285,0.988,0.31,3.2593522320655035,2021-12-06_122712
-73.12694285714295,0.988,0.11,3.7775770535961524,2021-12-06_130017
262.16091428571565,0.988,0.17,4.580377697768461,2021-12-06_133325
1668.539464285714,0.988,0.99,14.811182212393561,2021-12-06_141147
1329.9942428571424,0.988,0.95,3.160720136953299,2021-12-06_144458
195.4460285714258,0.988,0.78,3.298001061728351,2021-12-06_151813
-257.4002285714256,0.988,0.11,3.312107829450294,2021-12-06_155118
629.3421642857151,0.988,0.81,3.221412304275245,2021-12-06_162924
184.7646785714282,0.988,0.49,3.6489810323344947,2021-12-06_170253
57.84123571428609,0.988,0.62,3.2595768895967043,2021-12-06_174135
254.23406428571383,0.988,0.17,3.8368021418812654,2021-12-06_182505
-79.95729285714214,0.988,0.1,4.115194688110401,2021-12-06_185811
-153.19974285714156,0.988,0.11,3.528766758428652,2021-12-06_193119
-11.936014285713231,0.988,0.57,3.608011505790281,2021-12-06_200934
910.2800928571447,0.988,0.95,16.982678260905747,2021-12-06_204259
1425.8845714285733,0.988,0.97,3.121568644428322,2021-12-06_211630
-45.85420000000004,0.988,0.33,3.0762163650326193,2021-12-06_214935
585.7102714285709,0.988,0.98,3.0989842112038546,2021-12-06_222242
1114.162442857142,0.988,0.96,3.068799965701247,2021-12-06_225550
135.43719285714204,0.988,0.74,3.476477071545202,2021-12-06_232857
182.0272285714278,0.988,0.83,3.3106116254608233,2021-12-07_000215
331.9195357142852,0.988,0.16,5.011770167747867,2021-12-07_004546
