Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
2.03E-14,1.58E-08,-0.016880308,0.154759148
1.41E-14,1.09E-08,0.147611929,0.812286005
1.90E-14,1.47E-08,0.025524372,0.19247465
1.88E-14,1.45E-08,0.032030785,0.212878306
1.81E-14,1.40E-08,0.027715914,0.190657336
2.44E-14,1.89E-08,0.02036362,0.148419979
1.77E-14,1.37E-08,-0.009468059,0.180419234
1.60E-14,1.24E-08,0.011854795,0.265101624
2.85E-14,2.21E-08,0.178535136,0.293037169
1.60E-14,1.24E-08,-0.065503196,0.144822835
1.86E-14,1.44E-08,-0.008883725,0.197241134
2.33E-14,1.81E-08,-0.027862577,0.127894953
1.39E-14,1.08E-08,0.007016412,0.271612136
1.44E-14,1.12E-08,0.011489068,0.235081657
1.47E-14,1.14E-08,0.085523207,0.265249476
1.64E-14,1.27E-08,0.066363086,0.297289831
2.34E-14,1.81E-08,-0.009830746,0.173669702
1.77E-14,1.37E-08,0.052812332,0.196237873
1.65E-14,1.28E-08,0.186992711,0.464415928
1.36E-14,1.06E-08,-0.087182784,0.311806175
1.55E-14,1.20E-08,-0.041736331,0.182538581
1.72E-14,1.33E-08,-0.044968554,0.224125008
1.39E-14,1.08E-08,0.090454515,0.308346277
1.45E-14,1.13E-08,-0.030913807,0.280195769
1.74E-14,1.35E-08,-0.05355127,0.229693735
1.79E-14,1.39E-08,0.107224463,0.273647147
1.56E-14,1.21E-08,0.004625027,0.237022753
1.29E-14,9.97E-09,-0.009035738,0.26927767
1.29E-14,1.00E-08,0.012308715,0.435468085
1.32E-14,1.03E-08,-0.095514825,0.307283924
1.47E-14,1.14E-08,0.199182247,0.458971944
1.49E-14,1.15E-08,0.01751074,0.277379784
1.12E-14,8.69E-09,0.112894284,0.641287582
1.23E-14,9.50E-09,0.35512534,0.696371174
1.38E-14,1.07E-08,0.136758586,0.533165041
1.76E-14,1.36E-08,-0.018078742,0.221547678
1.46E-14,1.13E-08,-0.0140159,0.294863238
1.61E-14,1.25E-08,0.070165175,0.287039558
1.46E-14,1.13E-08,0.07176243,0.732221696
1.58E-14,1.23E-08,0.048565444,0.284853998
1.42E-14,1.10E-08,0.008763174,0.279496508
1.07E-14,8.27E-09,0.052927473,1.084724092
1.17E-14,9.08E-09,0.062608651,1.21353882
1.23E-14,9.55E-09,-0.172131842,1.152389298
1.45E-14,1.13E-08,-0.044956819,0.235228356
1.37E-14,1.06E-08,0.042627782,0.535191331
1.46E-14,1.13E-08,0.0937653,0.300371821
1.19E-14,9.21E-09,0.157417063,0.791770361
1.37E-14,1.06E-08,0.112871568,0.428812597
1.47E-14,1.14E-08,0.05346898,0.245153911
1.79E-14,1.39E-08,0.120042861,0.348853383
1.33E-14,1.03E-08,0.03065874,0.279673998
1.19E-14,9.26E-09,0.208504569,0.699277855
1.25E-14,9.65E-09,-0.039766233,0.412478694
1.29E-14,9.96E-09,-0.059221601,0.746677851
9.88E-15,7.66E-09,-0.180337783,1.110796515
1.53E-14,1.19E-08,0.048727671,0.584470884
1.35E-14,1.05E-08,0.043739102,0.325476615
1.55E-14,1.20E-08,0.198120883,0.396909507
8.07E-15,6.25E-09,0.016198405,0.791711276
1.34E-14,1.04E-08,0.057191166,0.356277988
1.19E-14,9.23E-09,-0.103776347,0.751329909
1.57E-14,1.22E-08,0.077379303,0.406310691
1.15E-14,8.91E-09,-0.124561987,2.918738497
1.03E-14,7.95E-09,0.096397644,1.242565681
1.17E-14,9.10E-09,0.065768328,0.471065983
1.30E-14,1.01E-08,0.041781792,0.587323592
1.03E-14,7.96E-09,0.129010378,0.587435075
1.07E-14,8.31E-09,-0.016735443,0.581187373
9.50E-15,7.37E-09,-0.010659764,0.924588493
1.25E-14,9.67E-09,0.140432045,0.837393911
1.05E-14,8.12E-09,0.000658548,0.671448736
9.41E-15,7.29E-09,0.121262325,0.55780223
1.09E-14,8.41E-09,-0.232000866,0.945104596
3.24E-15,2.51E-09,0.049384218,1.112508224
4.55E-15,3.53E-09,-0.298573654,2.338820712
3.50E-15,2.71E-09,0.413079436,1.284284455
1.23E-14,9.53E-09,0.003411179,0.376821243
9.95E-15,7.71E-09,0.413429805,1.492542595
1.39E-14,1.07E-08,0.034924686,0.454923995
7.39E-15,5.73E-09,-0.410725616,1.663474335
7.72E-15,5.98E-09,-1.164782442,5.02117278
1.03E-14,7.98E-09,-0.09540124,0.680499561
9.19E-15,7.12E-09,0.628413743,1.01415056
1.29E-14,9.99E-09,0.163846958,1.323460234
1.16E-14,9.02E-09,0.302690686,1.125800186
9.69E-15,7.51E-09,0.018332313,1.03365465
6.92E-15,5.36E-09,0.509289566,2.87698625
6.38E-15,4.95E-09,0.078537975,1.332830594
1.23E-14,9.56E-09,0.249174283,0.626173692
3.84E-15,2.97E-09,0.037830233,1.334096571
2.98E-16,2.31E-10,-2.26153602,10.21413991
5.63E-16,4.37E-10,-0.863957958,5.576046395
6.14E-15,4.76E-09,0.268597787,1.38433761
1.41E-14,1.10E-08,0.048483826,0.467168662
7.45E-15,5.78E-09,0.305129327,1.34956212
